DATE,TOC_mg_L,Alk_mg_L
7/28/2024,2.8,44
7/29/2024,2.7,47
7/30/2024,2.7,48.5
7/31/2024,2.6,48.5
8/1/2024,2.6,47.6
8/2/2024,2.6,48.6
8/3/2024,2.6,48.5
8/4/2024,2.6,48
8/5/2024,3,49.5
8/6/2024,2.7,48.25
8/7/2024,2.7,49
8/8/2024,2.7,47.5
8/9/2024,2.8,47
8/10/2024,2.7,47
8/11/2024,2.7,46.5
8/12/2024,2.7,43
8/13/2024,2.7,46.5
8/14/2024,2.8,47
8/15/2024,2.8,46
8/16/2024,2.8,45.2
8/17/2024,2.9,46.5
8/18/2024,2.9,48
8/19/2024,2.9,49
8/20/2024,2.9,50.5
8/21/2024,2.9,50.6
8/22/2024,3.1,51.5
8/23/2024,3.3,54
8/24/2024,3.3,54
8/25/2024,3.4,56.2
8/26/2024,3.4,55.5
8/27/2024,3.4,54.6
8/28/2024,3.3,54.5
8/29/2024,3.3,54
8/30/2024,3.2,59.7
8/31/2024,3.2,54.5
9/1/2024,3.2,54.5
9/2/2024,3.1,52
9/3/2024,3,51.75
9/4/2024,2.9,51.5
9/5/2024,2.9,53.5
9/6/2024,2.9,54
9/7/2024,3,53
9/8/2024,2.9,53.5
9/9/2024,2.8,52
9/10/2024,2.7,53
9/11/2024,2.7,52.5
9/12/2024,2.6,53
9/13/2024,2.7,55
9/14/2024,2.7,55.5
9/15/2024,2.7,54
9/16/2024,2.7,56
9/17/2024,2.7,54
9/18/2024,2.7,55.9
9/19/2024,2.6,55
9/20/2024,2.6,55.4
9/21/2024,2.6,55
9/22/2024,2.6,53.8
9/23/2024,2.6,51.7
9/24/2024,2.5,52.5
9/25/2024,2.5,51.5
9/26/2024,2.5,55.2
9/27/2024,2.5,53.4
9/28/2024,2.4,57
9/29/2024,2.5,53
9/30/2024,2.5,55.5
10/1/2024,2.4,55.5
10/2/2024,2.4,56
10/3/2024,2.4,55.6
10/4/2024,2.4,56.2
10/5/2024,2.4,61
10/6/2024,2.4,57
10/7/2024,2.4,56.7
10/8/2024,2.4,60.7
10/9/2024,2.5,62
10/10/2024,2.5,62.5
10/11/2024,2.5,62.5
10/12/2024,2.5,61.2
10/13/2024,2.5,65.6
10/14/2024,2.5,62.9
10/15/2024,2.5,61.8
10/16/2024,2.5,62
10/17/2024,2.4,63.4
10/18/2024,2.4,61.5
10/19/2024,2.4,61
10/20/2024,2.4,63.6
10/21/2024,2.4,62.6
10/22/2024,2.4,59
10/23/2024,2.4,61.3
10/24/2024,2.3,59.9
10/25/2024,2.3,59.4
10/26/2024,2.3,59.8
10/27/2024,2.3,57.6
10/28/2024,2.2,59
10/29/2024,2.2,60
4/1/2025,2.7,79
4/2/2025,2.7,79.8
4/3/2025,2.7,79.7
4/4/2025,2.7,79.5
4/5/2025,2.6,80
4/6/2025,2.6,81.5
4/7/2025,2.6,79.5
4/8/2025,2.6,82.25
4/9/2025,2.6,81
4/10/2025,2.7,81
4/11/2025,2.6,82
4/12/2025,2.6,80.7
4/13/2025,2.6,80
4/14/2025,2.6,80.5
4/15/2025,2.7,81.5
4/16/2025,2.7,81.7
4/17/2025,2.7,81.5
4/18/2025,2.7,82.5
4/19/2025,2.7,81.1
4/20/2025,2.7,79.1
4/21/2025,2.7,80.5
4/22/2025,2.8,79.5
4/23/2025,2.7,81.5
4/24/2025,2.7,80.5
4/25/2025,2.7,81.5
4/26/2025,2.7,81
4/27/2025,2.8,80
4/28/2025,2.8,78.5
4/29/2025,2.8,80.9
4/30/2025,2.8,78.5
5/1/2025,2.9,80
5/2/2025,2.8,78.8
5/3/2025,2.8,79
5/4/2025,2.8,79
5/5/2025,2.8,78
5/6/2025,2.8,78.25
5/7/2025,2.7,76
5/8/2025,2.7,77.4
5/9/2025,2.7,74.5
5/10/2025,2.7,73.5
5/11/2025,2.7,71
5/12/2025,2.7,67.1
5/13/2025,2.8,65
5/14/2025,2.9,64.6
5/15/2025,3,62.2
5/16/2025,3.1,63.5
